event_at,event_type,symbol,action,contract,strike,expiry,qty,premium,delta,iv,dte,cash_before,equity_before,filter_earnings,filter_ma_trend,filter_vol,filter_iv_rank,market_vix,market_spy_above_200ma,skip_reason,pnl,exit_reason,notes
2026-05-29T15:09:02.207091,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.45,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T15:17:06.170166,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.40,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T15:25:25.784851,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.36,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T15:33:15.122978,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.33,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T15:41:28.879890,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.37,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T15:49:19.253391,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.35,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T15:57:31.697210,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.30,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T16:02:05.507818,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.31,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T16:09:25.801610,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.27,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T16:17:20.629912,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.25,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T16:25:05.587924,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.18,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T16:33:15.080590,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.16,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T16:41:15.999448,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.11,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T16:49:29.006989,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.12,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T16:57:10.945888,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.14,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T17:01:57.353093,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.13,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T17:09:43.132302,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.12,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T17:17:22.154879,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.13,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
